=== ANALYSIS REPORT ===
Total Chars Scanned: 5,111,365,024
Out-of-Scope Chars Found: 58,237,838
Unique Out-of-Scope Chars: 3,932
Noise Percentage: 1.1394%
=======================

CHAR   | HEX      | COUNT      | NAME
🚩      | U+1F6A9  | 29         | TRIANGULAR FLAG ON POST
ṁ      | U+1E41   | 29         | LATIN SMALL LETTER M WITH DOT ABOVE
😪      | U+1F62A  | 29         | SLEEPY FACE
̀      | U+0300   | 29         | COMBINING GRAVE ACCENT
Ⱪ      | U+2C69   | 29         | LATIN CAPITAL LETTER K WITH DESCENDER
સ      | U+0AB8   | 29         | GUJARATI LETTER SA
ֹ      | U+05B9   | 29         | HEBREW POINT HOLAM
。      | U+3002   | 28         | IDEOGRAPHIC FULL STOP
🙄      | U+1F644  | 28         | FACE WITH ROLLING EYES
文      | U+6587   | 28         | CJK UNIFIED IDEOGRAPH-6587
💓      | U+1F493  | 28         | BEATING HEART
Ⅻ      | U+216B   | 28         | ROMAN NUMERAL TWELVE
       | U+0083   | 28         | UNKNOWN_CONTROL_CHAR
🚫      | U+1F6AB  | 28         | NO ENTRY SIGN
😃      | U+1F603  | 28         | SMILING FACE WITH OPEN MOUTH
⛈      | U+26C8   | 28         | THUNDER CLOUD AND RAIN
ʃ      | U+0283   | 28         | LATIN SMALL LETTER ESH
▲      | U+25B2   | 28         | BLACK UP-POINTING TRIANGLE
ǎ      | U+01CE   | 28         | LATIN SMALL LETTER A WITH CARON
ի      | U+056B   | 28         | ARMENIAN SMALL LETTER INI
ÿ      | U+00FF   | 27         | LATIN SMALL LETTER Y WITH DIAERESIS
ఢ      | U+0C22   | 27         | TELUGU LETTER DDHA
П      | U+041F   | 27         | CYRILLIC CAPITAL LETTER PE
👇      | U+1F447  | 27         | WHITE DOWN POINTING BACKHAND INDEX
⚪      | U+26AA   | 27         | MEDIUM WHITE CIRCLE
ṛ      | U+1E5B   | 27         | LATIN SMALL LETTER R WITH DOT BELOW
中      | U+4E2D   | 27         | CJK UNIFIED IDEOGRAPH-4E2D
ᴇ      | U+1D07   | 27         | LATIN LETTER SMALL CAPITAL E
😝      | U+1F61D  | 27         | FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
Σ      | U+03A3   | 26         | GREEK CAPITAL LETTER SIGMA
ܐ      | U+0710   | 26         | SYRIAC LETTER ALAPH
☹      | U+2639   | 26         | WHITE FROWNING FACE
χ      | U+03C7   | 26         | GREEK SMALL LETTER CHI
       | U+FEFF   | 26         | ZERO WIDTH NO-BREAK SPACE
≈      | U+2248   | 26         | ALMOST EQUAL TO
🟢      | U+1F7E2  | 26         | LARGE GREEN CIRCLE
є      | U+0454   | 26         | CYRILLIC SMALL LETTER UKRAINIAN IE
У      | U+0423   | 25         | CYRILLIC CAPITAL LETTER U
ঋ      | U+098B   | 25         | BENGALI LETTER VOCALIC R
💧      | U+1F4A7  | 25         | DROPLET
≡      | U+2261   | 25         | IDENTICAL TO
က      | U+1000   | 25         | MYANMAR LETTER KA
Ò      | U+00D2   | 25         | LATIN CAPITAL LETTER O WITH GRAVE
ਖ      | U+0A16   | 25         | GURMUKHI LETTER KHA
🏁      | U+1F3C1  | 25         | CHEQUERED FLAG
☆      | U+2606   | 24         | WHITE STAR
🦋      | U+1F98B  | 24         | BUTTERFLY
🙁      | U+1F641  | 24         | SLIGHTLY FROWNING FACE
∞      | U+221E   | 24         | INFINITY
✉      | U+2709   | 24         | ENVELOPE
Ⅺ      | U+216A   | 24         | ROMAN NUMERAL ELEVEN
ૂ      | U+0AC2   | 24         | GUJARATI VOWEL SIGN UU
ਅ      | U+0A05   | 24         | GURMUKHI LETTER A
˴      | U+02F4   | 24         | MODIFIER LETTER MIDDLE GRAVE ACCENT
ジ      | U+30B8   | 24         | KATAKANA LETTER ZI
🔖      | U+1F516  | 24         | BOOKMARK
Н      | U+041D   | 23         | CYRILLIC CAPITAL LETTER EN
😅      | U+1F605  | 23         | SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
Ⅰ      | U+2160   | 23         | ROMAN NUMERAL ONE
😨      | U+1F628  | 23         | FEARFUL FACE
ή      | U+03AE   | 23         | GREEK SMALL LETTER ETA WITH TONOS
୍      | U+0B4D   | 23         | ORIYA SIGN VIRAMA
ɾ      | U+027E   | 23         | LATIN SMALL LETTER R WITH FISHHOOK
🗣      | U+1F5E3  | 23         | SPEAKING HEAD IN SILHOUETTE
ť      | U+0165   | 23         | LATIN SMALL LETTER T WITH CARON
ո      | U+0578   | 23         | ARMENIAN SMALL LETTER VO
第      | U+7B2C   | 23         | CJK UNIFIED IDEOGRAPH-7B2C
В      | U+0412   | 22         | CYRILLIC CAPITAL LETTER VE
🇺      | U+1F1FA  | 22         | REGIONAL INDICATOR SYMBOL LETTER U
५      | U+096B   | 22         | DEVANAGARI DIGIT FIVE
ɯ      | U+026F   | 22         | LATIN SMALL LETTER TURNED M
ύ      | U+03CD   | 22         | GREEK SMALL LETTER UPSILON WITH TONOS
       | U+0094   | 22         | UNKNOWN_CONTROL_CHAR
ư      | U+01B0   | 22         | LATIN SMALL LETTER U WITH HORN
४      | U+096A   | 22         | DEVANAGARI DIGIT FOUR
ʿ      | U+02BF   | 22         | MODIFIER LETTER LEFT HALF RING
       | U+009D   | 22         | UNKNOWN_CONTROL_CHAR
ઠ      | U+0AA0   | 22         | GUJARATI LETTER TTHA
章      | U+7AE0   | 22         | CJK UNIFIED IDEOGRAPH-7AE0
😬      | U+1F62C  | 22         | GRIMACING FACE
😞      | U+1F61E  | 22         | DISAPPOINTED FACE
❗      | U+2757   | 22         | HEAVY EXCLAMATION MARK SYMBOL
🌄      | U+1F304  | 22         | SUNRISE OVER MOUNTAINS
ї      | U+0457   | 21         | CYRILLIC SMALL LETTER YI
🇹      | U+1F1F9  | 21         | REGIONAL INDICATOR SYMBOL LETTER T
ಃ      | U+0C83   | 21         | KANNADA SIGN VISARGA
Û      | U+00DB   | 21         | LATIN CAPITAL LETTER U WITH CIRCUMFLEX
६      | U+096C   | 21         | DEVANAGARI DIGIT SIX
ɬ      | U+026C   | 21         | LATIN SMALL LETTER L WITH BELT
◊      | U+25CA   | 21         | LOZENGE
ဂ      | U+1002   | 21         | MYANMAR LETTER GA
∠      | U+2220   | 21         | ANGLE
И      | U+0418   | 21         | CYRILLIC CAPITAL LETTER I
ם      | U+05DD   | 21         | HEBREW LETTER FINAL MEM
🎯      | U+1F3AF  | 21         | DIRECT HIT
ɡ      | U+0261   | 20         | LATIN SMALL LETTER SCRIPT G
Ō      | U+014C   | 20         | LATIN CAPITAL LETTER O WITH MACRON
̂      | U+0302   | 20         | COMBINING CIRCUMFLEX ACCENT
﹣      | U+FE63   | 20         | SMALL HYPHEN-MINUS
ỏ      | U+1ECF   | 20         | LATIN SMALL LETTER O WITH HOOK ABOVE
💚      | U+1F49A  | 20         | GREEN HEART
💫      | U+1F4AB  | 20         | DIZZY SYMBOL
       | U+F0B7   | 20         | UNKNOWN_CONTROL_CHAR
💖      | U+1F496  | 20         | SPARKLING HEART
🥇      | U+1F947  | 20         | FIRST PLACE MEDAL
₪      | U+20AA   | 20         | NEW SHEQEL SIGN
ў      | U+045E   | 20         | CYRILLIC SMALL LETTER SHORT U
Ⓒ      | U+24B8   | 20         | CIRCLED LATIN CAPITAL LETTER C
ڔ      | U+0694   | 20         | ARABIC LETTER REH WITH DOT BELOW
ऋ      | U+090B   | 20         | DEVANAGARI LETTER VOCALIC R
➥      | U+27A5   | 20         | HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
       | U+F0D8   | 20         | UNKNOWN_CONTROL_CHAR
Ε      | U+0395   | 20         | GREEK CAPITAL LETTER EPSILON
ણ      | U+0AA3   | 20         | GUJARATI LETTER NNA
🔎      | U+1F50E  | 20         | RIGHT-POINTING MAGNIFYING GLASS
ਭ      | U+0A2D   | 20         | GURMUKHI LETTER BHA
る      | U+308B   | 20         | HIRAGANA LETTER RU
ੌ      | U+0A4C   | 20         | GURMUKHI VOWEL SIGN AU
Π      | U+03A0   | 19         | GREEK CAPITAL LETTER PI
🔷      | U+1F537  | 19         | LARGE BLUE DIAMOND
ٓ      | U+0653   | 19         | ARABIC MADDAH ABOVE
۶      | U+06F6   | 19         | EXTENDED ARABIC-INDIC DIGIT SIX
🌴      | U+1F334  | 19         | PALM TREE
🇸      | U+1F1F8  | 19         | REGIONAL INDICATOR SYMBOL LETTER S
😌      | U+1F60C  | 19         | RELIEVED FACE
ৰ      | U+09F0   | 19         | BENGALI LETTER RA WITH MIDDLE DIAGONAL
ת      | U+05EA   | 19         | HEBREW LETTER TAV
ể      | U+1EC3   | 19         | LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
🏍      | U+1F3CD  | 19         | RACING MOTORCYCLE
の      | U+306E   | 19         | HIRAGANA LETTER NO
Ↄ      | U+2183   | 19         | ROMAN NUMERAL REVERSED ONE HUNDRED
🖤      | U+1F5A4  | 19         | BLACK HEART
ର      | U+0B30   | 19         | ORIYA LETTER RA
ζ      | U+03B6   | 19         | GREEK SMALL LETTER ZETA
🌟      | U+1F31F  | 19         | GLOWING STAR
੍      | U+0A4D   | 19         | GURMUKHI SIGN VIRAMA
✴      | U+2734   | 19         | EIGHT POINTED BLACK STAR
💗      | U+1F497  | 19         | GROWING HEART
Α      | U+0391   | 18         | GREEK CAPITAL LETTER ALPHA
⊿      | U+22BF   | 18         | RIGHT TRIANGLE
ۗ      | U+06D7   | 18         | ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA
Ⅱ      | U+2161   | 18         | ROMAN NUMERAL TWO
💛      | U+1F49B  | 18         | YELLOW HEART
𝗜      | U+1D5DC  | 18         | MATHEMATICAL SANS-SERIF BOLD CAPITAL I
Β      | U+0392   | 18         | GREEK CAPITAL LETTER BETA
🏽      | U+1F3FD  | 18         | EMOJI MODIFIER FITZPATRICK TYPE-4
ۓ      | U+06D3   | 18         | ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
☸      | U+2638   | 18         | WHEEL OF DHARMA
ն      | U+0576   | 18         | ARMENIAN SMALL LETTER NOW
ד      | U+05D3   | 18         | HEBREW LETTER DALET
Ũ      | U+0168   | 18         | LATIN CAPITAL LETTER U WITH TILDE
◎      | U+25CE   | 18         | BULLSEYE
🌳      | U+1F333  | 18         | DECIDUOUS TREE
ậ      | U+1EAD   | 17         | LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
ɹ      | U+0279   | 17         | LATIN SMALL LETTER TURNED R
😰      | U+1F630  | 17         | FACE WITH OPEN MOUTH AND COLD SWEAT
💔      | U+1F494  | 17         | BROKEN HEART
🔶      | U+1F536  | 17         | LARGE ORANGE DIAMOND
ſ      | U+017F   | 17         | LATIN SMALL LETTER LONG S
อ      | U+0E2D   | 17         | THAI CHARACTER O ANG
น      | U+0E19   | 17         | THAI CHARACTER NO NU
ବ      | U+0B2C   | 17         | ORIYA LETTER BA
Ŭ      | U+016C   | 17         | LATIN CAPITAL LETTER U WITH BREVE
🟥      | U+1F7E5  | 17         | LARGE RED SQUARE
ې      | U+06D0   | 17         | ARABIC LETTER E
Ɵ      | U+019F   | 17         | LATIN CAPITAL LETTER O WITH MIDDLE TILDE
૨      | U+0AE8   | 17         | GUJARATI DIGIT TWO
🥳      | U+1F973  | 17         | FACE WITH PARTY HORN AND PARTY HAT
ւ      | U+0582   | 17         | ARMENIAN SMALL LETTER YIWN
۴      | U+06F4   | 17         | EXTENDED ARABIC-INDIC DIGIT FOUR
Р      | U+0420   | 17         | CYRILLIC CAPITAL LETTER ER
       | U+F03C   | 17         | UNKNOWN_CONTROL_CHAR
       | U+0090   | 17         | UNKNOWN_CONTROL_CHAR
       | U+0087   | 16         | UNKNOWN_CONTROL_CHAR
😥      | U+1F625  | 16         | DISAPPOINTED BUT RELIEVED FACE
ˌ      | U+02CC   | 16         | MODIFIER LETTER LOW VERTICAL LINE
📢      | U+1F4E2  | 16         | PUBLIC ADDRESS LOUDSPEAKER
🥀      | U+1F940  | 16         | WILTED FLOWER
◉      | U+25C9   | 16         | FISHEYE
Ƚ      | U+023D   | 16         | LATIN CAPITAL LETTER L WITH BAR
🎉      | U+1F389  | 16         | PARTY POPPER
🕉      | U+1F549  | 16         | OM SYMBOL
ン      | U+30F3   | 16         | KATAKANA LETTER N
ʜ      | U+029C   | 16         | LATIN LETTER SMALL CAPITAL H
本      | U+672C   | 16         | CJK UNIFIED IDEOGRAPH-672C
👀      | U+1F440  | 16         | EYES
બ      | U+0AAC   | 16         | GUJARATI LETTER BA
🛡      | U+1F6E1  | 16         | SHIELD
્      | U+0ACD   | 16         | GUJARATI SIGN VIRAMA
🍀      | U+1F340  | 16         | FOUR LEAF CLOVER
❇      | U+2747   | 16         | SPARKLE
☏      | U+260F   | 16         | WHITE TELEPHONE
་      | U+0F0B   | 15         | TIBETAN MARK INTERSYLLABIC TSHEG
ۢ      | U+06E2   | 15         | ARABIC SMALL HIGH MEEM ISOLATED FORM
🍃      | U+1F343  | 15         | LEAF FLUTTERING IN WIND
🧚      | U+1F9DA  | 15         | FAIRY
📸      | U+1F4F8  | 15         | CAMERA WITH FLASH
😐      | U+1F610  | 15         | NEUTRAL FACE
ן      | U+05DF   | 15         | HEBREW LETTER FINAL NUN
ờ      | U+1EDD   | 15         | LATIN SMALL LETTER O WITH HORN AND GRAVE
       | U+0082   | 15         | UNKNOWN_CONTROL_CHAR
       | U+008C   | 15         | UNKNOWN_CONTROL_CHAR
ڊ      | U+068A   | 15         | ARABIC LETTER DAL WITH DOT BELOW
😓      | U+1F613  | 15         | FACE WITH COLD SWEAT
О      | U+041E   | 15         | CYRILLIC CAPITAL LETTER O
＞      | U+FF1E   | 15         | FULLWIDTH GREATER-THAN SIGN
ง      | U+0E07   | 15         | THAI CHARACTER NGO NGU
🤦      | U+1F926  | 15         | FACE PALM
କ      | U+0B15   | 15         | ORIYA LETTER KA
ା      | U+0B3E   | 15         | ORIYA VOWEL SIGN AA
ǔ      | U+01D4   | 15         | LATIN SMALL LETTER U WITH CARON
日      | U+65E5   | 15         | CJK UNIFIED IDEOGRAPH-65E5
😕      | U+1F615  | 15         | CONFUSED FACE
Х      | U+0425   | 15         | CYRILLIC CAPITAL LETTER HA
ړ      | U+0693   | 15         | ARABIC LETTER REH WITH RING
🤭      | U+1F92D  | 15         | SMILING FACE WITH SMILING EYES AND HAND COVERING MOUTH
♡      | U+2661   | 15         | WHITE HEART SUIT
ફ      | U+0AAB   | 15         | GUJARATI LETTER PHA
ե      | U+0565   | 15         | ARMENIAN SMALL LETTER ECH
ん      | U+3093   | 15         | HIRAGANA LETTER N
🐍      | U+1F40D  | 15         | SNAKE
✭      | U+272D   | 15         | OUTLINED BLACK STAR
🇩      | U+1F1E9  | 14         | REGIONAL INDICATOR SYMBOL LETTER D
🇫      | U+1F1EB  | 14         | REGIONAL INDICATOR SYMBOL LETTER F
☐      | U+2610   | 14         | BALLOT BOX
💋      | U+1F48B  | 14         | KISS MARK
Ɛ      | U+0190   | 14         | LATIN CAPITAL LETTER OPEN E
ɒ      | U+0252   | 14         | LATIN SMALL LETTER TURNED ALPHA
       | U+202A   | 14         | LEFT-TO-RIGHT EMBEDDING
🏏      | U+1F3CF  | 14         | CRICKET BAT AND BALL
ʷ      | U+02B7   | 14         | MODIFIER LETTER SMALL W
📍      | U+1F4CD  | 14         | ROUND PUSHPIN
પ      | U+0AAA   | 14         | GUJARATI LETTER PA
Ƴ      | U+01B3   | 14         | LATIN CAPITAL LETTER Y WITH HOOK
♔      | U+2654   | 14         | WHITE CHESS KING
ʟ      | U+029F   | 14         | LATIN LETTER SMALL CAPITAL L
🇨      | U+1F1E8  | 14         | REGIONAL INDICATOR SYMBOL LETTER C
̯      | U+032F   | 14         | COMBINING INVERTED BREVE BELOW
✘      | U+2718   | 14         | HEAVY BALLOT X
ֲ      | U+05B2   | 14         | HEBREW POINT HATAF PATAH
ਠ      | U+0A20   | 14         | GURMUKHI LETTER TTHA
ਧ      | U+0A27   | 14         | GURMUKHI LETTER DHA
ֻ      | U+05BB   | 14         | HEBREW POINT QUBUTS
👁      | U+1F441  | 13         | EYE
७      | U+096D   | 13         | DEVANAGARI DIGIT SEVEN
🤤      | U+1F924  | 13         | DROOLING FACE
ế      | U+1EBF   | 13         | LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
       | U+009C   | 13         | UNKNOWN_CONTROL_CHAR
ဝ      | U+101D   | 13         | MYANMAR LETTER WA
大      | U+5927   | 13         | CJK UNIFIED IDEOGRAPH-5927
💯      | U+1F4AF  | 13         | HUNDRED POINTS SYMBOL
ಢ      | U+0CA2   | 13         | KANNADA LETTER DDHA
ว      | U+0E27   | 13         | THAI CHARACTER WO WAEN
☎      | U+260E   | 13         | BLACK TELEPHONE
ତ      | U+0B24   | 13         | ORIYA LETTER TA
📺      | U+1F4FA  | 13         | TELEVISION
🌶      | U+1F336  | 13         | HOT PEPPER
ڑ      | U+0691   | 13         | ARABIC LETTER RREH
હ      | U+0AB9   | 13         | GUJARATI LETTER HA
は      | U+306F   | 13         | HIRAGANA LETTER HA
▫      | U+25AB   | 13         | WHITE SMALL SQUARE
ψ      | U+03C8   | 13         | GREEK SMALL LETTER PSI
体      | U+4F53   | 13         | CJK UNIFIED IDEOGRAPH-4F53
🗡      | U+1F5E1  | 13         | DAGGER KNIFE
ભ      | U+0AAD   | 13         | GUJARATI LETTER BHA
𝐨      | U+1D428  | 13         | MATHEMATICAL BOLD SMALL O
נ      | U+05E0   | 13         | HEBREW LETTER NUN
💎      | U+1F48E  | 13         | GEM STONE
🌻      | U+1F33B  | 13         | SUNFLOWER
ੜ      | U+0A5C   | 13         | GURMUKHI LETTER RRA
☭      | U+262D   | 13         | HAMMER AND SICKLE
დ      | U+10D3   | 13         | GEORGIAN LETTER DON
       | U+F067   | 13         | UNKNOWN_CONTROL_CHAR
ћ      | U+045B   | 12         | CYRILLIC SMALL LETTER TSHE
ܘ      | U+0718   | 12         | SYRIAC LETTER WAW
ܝ      | U+071D   | 12         | SYRIAC LETTER YUDH
Ḻ      | U+1E3A   | 12         | LATIN CAPITAL LETTER L WITH LINE BELOW
ả      | U+1EA3   | 12         | LATIN SMALL LETTER A WITH HOOK ABOVE
Ф      | U+0424   | 12         | CYRILLIC CAPITAL LETTER EF
🥺      | U+1F97A  | 12         | FACE WITH PLEADING EYES
💰      | U+1F4B0  | 12         | MONEY BAG
ე      | U+10D4   | 12         | GEORGIAN LETTER EN
ย      | U+0E22   | 12         | THAI CHARACTER YO YAK
👊      | U+1F44A  | 12         | FISTED HAND SIGN
▮      | U+25AE   | 12         | BLACK VERTICAL RECTANGLE
ￗ      | U+FFD7   | 12         | HALFWIDTH HANGUL LETTER YU
ま      | U+307E   | 12         | HIRAGANA LETTER MA
ệ      | U+1EC7   | 12         | LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
ઈ      | U+0A88   | 12         | GUJARATI LETTER II
       | U+0095   | 12         | UNKNOWN_CONTROL_CHAR
界      | U+754C   | 12         | CJK UNIFIED IDEOGRAPH-754C
💜      | U+1F49C  | 12         | PURPLE HEART
🌼      | U+1F33C  | 12         | BLOSSOM
ỉ      | U+1EC9   | 12         | LATIN SMALL LETTER I WITH HOOK ABOVE
𝐚      | U+1D41A  | 12         | MATHEMATICAL BOLD SMALL A
ǵ      | U+01F5   | 12         | LATIN SMALL LETTER G WITH ACUTE
😷      | U+1F637  | 12         | FACE WITH MEDICAL MASK
国      | U+56FD   | 12         | CJK UNIFIED IDEOGRAPH-56FD
⛇      | U+26C7   | 12         | BLACK SNOWMAN
💟      | U+1F49F  | 11         | HEART DECORATION
ס      | U+05E1   | 11         | HEBREW LETTER SAMEKH
כ      | U+05DB   | 11         | HEBREW LETTER KAF
🙈      | U+1F648  | 11         | SEE-NO-EVIL MONKEY
🇵      | U+1F1F5  | 11         | REGIONAL INDICATOR SYMBOL LETTER P
Ē      | U+0112   | 11         | LATIN CAPITAL LETTER E WITH MACRON
🦁      | U+1F981  | 11         | LION FACE
山      | U+5C71   | 11         | CJK UNIFIED IDEOGRAPH-5C71
😯      | U+1F62F  | 11         | HUSHED FACE
       | U+0086   | 11         | UNKNOWN_CONTROL_CHAR
ˉ      | U+02C9   | 11         | MODIFIER LETTER MACRON
ପ      | U+0B2A   | 11         | ORIYA LETTER PA
𝗲      | U+1D5F2  | 11         | MATHEMATICAL SANS-SERIF BOLD SMALL E
ऽ      | U+093D   | 11         | DEVANAGARI SIGN AVAGRAHA
😦      | U+1F626  | 11         | FROWNING FACE WITH OPEN MOUTH
ܬ      | U+072C   | 11         | SYRIAC LETTER TAW
🎂      | U+1F382  | 11         | BIRTHDAY CAKE
្      | U+17D2   | 11         | KHMER SIGN COENG
յ      | U+0575   | 11         | ARMENIAN SMALL LETTER YI
͡      | U+0361   | 11         | COMBINING DOUBLE INVERTED BREVE
新      | U+65B0   | 11         | CJK UNIFIED IDEOGRAPH-65B0
①      | U+2460   | 11         | CIRCLED DIGIT ONE
˻      | U+02FB   | 11         | MODIFIER LETTER BEGIN LOW TONE
Г      | U+0413   | 11         | CYRILLIC CAPITAL LETTER GHE
🤝      | U+1F91D  | 11         | HANDSHAKE
ङ      | U+0919   | 11         | DEVANAGARI LETTER NGA
用      | U+7528   | 11         | CJK UNIFIED IDEOGRAPH-7528
္      | U+1039   | 11         | MYANMAR SIGN VIRAMA
人      | U+4EBA   | 11         | CJK UNIFIED IDEOGRAPH-4EBA
І      | U+0406   | 11         | CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
એ      | U+0A8F   | 11         | GUJARATI LETTER E
🌏      | U+1F30F  | 11         | EARTH GLOBE ASIA-AUSTRALIA
💉      | U+1F489  | 11         | SYRINGE
語      | U+8A9E   | 11         | CJK UNIFIED IDEOGRAPH-8A9E
З      | U+0417   | 11         | CYRILLIC CAPITAL LETTER ZE
մ      | U+0574   | 11         | ARMENIAN SMALL LETTER MEN
ਥ      | U+0A25   | 11         | GURMUKHI LETTER THA
Ř      | U+0158   | 11         | LATIN CAPITAL LETTER R WITH CARON
ị      | U+1ECB   | 11         | LATIN SMALL LETTER I WITH DOT BELOW
𝗔      | U+1D5D4  | 11         | MATHEMATICAL SANS-SERIF BOLD CAPITAL A
∫      | U+222B   | 11         | INTEGRAL
ა      | U+10D0   | 11         | GEORGIAN LETTER AN
👋      | U+1F44B  | 11         | WAVING HAND SIGN
ꣳ      | U+A8F3   | 11         | DEVANAGARI SIGN CANDRABINDU VIRAMA
ਘ      | U+0A18   | 11         | GURMUKHI LETTER GHA
🗓      | U+1F5D3  | 11         | SPIRAL CALENDAR PAD
🚗      | U+1F697  | 11         | AUTOMOBILE
⍟      | U+235F   | 11         | APL FUNCTIONAL SYMBOL CIRCLE STAR
す      | U+3059   | 11         | HIRAGANA LETTER SU
ာ      | U+102C   | 10         | MYANMAR VOWEL SIGN AA
Đ      | U+0110   | 10         | LATIN CAPITAL LETTER D WITH STROKE
Т      | U+0422   | 10         | CYRILLIC CAPITAL LETTER TE
🙌      | U+1F64C  | 10         | PERSON RAISING BOTH HANDS IN CELEBRATION
Ṭ      | U+1E6C   | 10         | LATIN CAPITAL LETTER T WITH DOT BELOW
Γ      | U+0393   | 10         | GREEK CAPITAL LETTER GAMMA
̇      | U+0307   | 10         | COMBINING DOT ABOVE
國      | U+570B   | 10         | CJK UNIFIED IDEOGRAPH-570B
ด      | U+0E14   | 10         | THAI CHARACTER DO DEK
ิ      | U+0E34   | 10         | THAI CHARACTER SARA I
💦      | U+1F4A6  | 10         | SPLASHING SWEAT SYMBOL
ˇ      | U+02C7   | 10         | CARON
       | U+0088   | 10         | UNKNOWN_CONTROL_CHAR
ܢ      | U+0722   | 10         | SYRIAC LETTER NUN
📃      | U+1F4C3  | 10         | PAGE WITH CURL
ɣ      | U+0263   | 10         | LATIN SMALL LETTER GAMMA
天      | U+5929   | 10         | CJK UNIFIED IDEOGRAPH-5929
       | U+0092   | 10         | UNKNOWN_CONTROL_CHAR
💀      | U+1F480  | 10         | SKULL
🗝      | U+1F5DD  | 10         | OLD KEY
∕      | U+2215   | 10         | DIVISION SLASH
🚴      | U+1F6B4  | 10         | BICYCLIST
ܓ      | U+0713   | 10         | SYRIAC LETTER GAMAL
か      | U+304B   | 10         | HIRAGANA LETTER KA
②      | U+2461   | 10         | CIRCLED DIGIT TWO
⦁      | U+2981   | 10         | Z NOTATION SPOT
˼      | U+02FC   | 10         | MODIFIER LETTER END LOW TONE
一      | U+4E00   | 10         | CJK UNIFIED IDEOGRAPH-4E00
ม      | U+0E21   | 10         | THAI CHARACTER MO MA
ғ      | U+0493   | 10         | CYRILLIC SMALL LETTER GHE WITH STROKE
ज़      | U+095B   | 10         | DEVANAGARI LETTER ZA
河      | U+6CB3   | 10         | CJK UNIFIED IDEOGRAPH-6CB3
👩      | U+1F469  | 10         | WOMAN
✈      | U+2708   | 10         | AIRPLANE
พ      | U+0E1E   | 10         | THAI CHARACTER PHO PHAN
三      | U+4E09   | 10         | CJK UNIFIED IDEOGRAPH-4E09
       | U+0008   | 10         | UNKNOWN_CONTROL_CHAR
ż      | U+017C   | 10         | LATIN SMALL LETTER Z WITH DOT ABOVE
ળ      | U+0AB3   | 10         | GUJARATI LETTER LLA
↓      | U+2193   | 10         | DOWNWARDS ARROW
訳      | U+8A33   | 10         | CJK UNIFIED IDEOGRAPH-8A33
८      | U+096E   | 10         | DEVANAGARI DIGIT EIGHT
ώ      | U+03CE   | 10         | GREEK SMALL LETTER OMEGA WITH TONOS
𝐞      | U+1D41E  | 10         | MATHEMATICAL BOLD SMALL E
し      | U+3057   | 10         | HIRAGANA LETTER SI
🌧      | U+1F327  | 10         | CLOUD WITH RAIN
դ      | U+0564   | 10         | ARMENIAN SMALL LETTER DA
છ      | U+0A9B   | 10         | GUJARATI LETTER CHA
字      | U+5B57   | 10         | CJK UNIFIED IDEOGRAPH-5B57
ܠ      | U+0720   | 10         | SYRIAC LETTER LAMADH
🟣      | U+1F7E3  | 10         | LARGE PURPLE CIRCLE
Χ      | U+03A7   | 10         | GREEK CAPITAL LETTER CHI
🐘      | U+1F418  | 10         | ELEPHANT
♤      | U+2664   | 10         | WHITE SPADE SUIT
દ      | U+0AA6   | 10         | GUJARATI LETTER DA
🗨      | U+1F5E8  | 9          | LEFT SPEECH BUBBLE
Л      | U+041B   | 9          | CYRILLIC CAPITAL LETTER EL
९      | U+096F   | 9          | DEVANAGARI DIGIT NINE
       | U+202D   | 9          | LEFT-TO-RIGHT OVERRIDE
မ      | U+1019   | 9          | MYANMAR LETTER MA
🤓      | U+1F913  | 9          | NERD FACE
פ      | U+05E4   | 9          | HEBREW LETTER PE
ễ      | U+1EC5   | 9          | LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
ー      | U+30FC   | 9          | KATAKANA-HIRAGANA PROLONGED SOUND MARK
😛      | U+1F61B  | 9          | FACE WITH STUCK-OUT TONGUE
公      | U+516C   | 9          | CJK UNIFIED IDEOGRAPH-516C
ก      | U+0E01   | 9          | THAI CHARACTER KO KAI
👨      | U+1F468  | 9          | MAN
🏃      | U+1F3C3  | 9          | RUNNER
Ǝ      | U+018E   | 9          | LATIN CAPITAL LETTER REVERSED E
🎙      | U+1F399  | 9          | STUDIO MICROPHONE
𝗡      | U+1D5E1  | 9          | MATHEMATICAL SANS-SERIF BOLD CAPITAL N
̨      | U+0328   | 9          | COMBINING OGONEK
େ      | U+0B47   | 9          | ORIYA VOWEL SIGN E
ନ      | U+0B28   | 9          | ORIYA LETTER NA
🎈      | U+1F388  | 9          | BALLOON
🇰      | U+1F1F0  | 9          | REGIONAL INDICATOR SYMBOL LETTER K
